-495.3495244394756 -1733.5668241446363 0 
-743.8028546972455 -2166.99855067726 0
-492.4031702673817 -2599.5713044968 0
-740.8054333028176 -3033.032271096279 0
-1246.5227881383848 -1302.606025416098 0
-1243.6272002730934 -2168.699012535039 0
-1240.6295736366653 -3034.791607641104 0
-1494.998414669105 -1736.908930368667 0
-1492.0516569442966 -2603.03116011826 0
-1995.9329769057717 -1738.583678902174 0
-2244.385404288971 -2172.103670970166 0
-1992.9860169867702 -2604.7649061066295 0
-746.6982442578438 -1300.9644382684248 0
